Study,Site,Soil C (mg/cm3)*,Soil N (mg/cm3)*,Microbial biomass C (mg/cm3),Microbial biomass N (mg/cm3),SOC,SON,MBC,MBN,MBC as % of soil C,MBN as % of soil N,Soil C:N,Inorganic nitrogen (ug/cm3),Respiration (ug C/cm3*hr),Net N mineralization (ug/cm3*hr)
Xu et al.,Halocylon scoparium,0,0,0.1206,0,0,0,0.00804,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.0576,0,0,0,0.00384,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.4806,0,0,0,0.03204,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.0756,0,0,0,0.00504,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.4284,0,0,0,0.02856,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.1584,0,0,0,0.01056,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.1206,0,0,0,0.00804,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.0594,0,0,0,0.00396,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.0756,0,0,0,0.00504,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.1188,0,0,0,0.00792,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.1188,0,0,0,0.00792,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.0594,0,0,0,0.00396,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.0756,0,0,0,0.00504,0,NA,NA,NA,NA,NA,NA
Xu et al.,Halocylon scoparium,0,0,0.072,0,0,0,0.0048,0,NA,NA,NA,NA,NA,NA
Xu et al.,zygophyllum dumosum,11.25,0,0.99,0,0.75,0,0.066,0,8.8,NA,NA,NA,NA,NA
Xu et al.,zygophyllum dumosum,6.9,0,0.345,0,0.46,0,0.023,0,5,NA,NA,NA,NA,NA
Xu et al.,zygophyllum dumosum,4.8,0,0.105,0,0.32,0,0.007,0,2.1875,NA,NA,NA,NA,NA
Xu et al.,hammada scoparia,7.2,0,0.54,0,0.48,0,0.036,0,7.5,NA,NA,NA,NA,NA
Xu et al.,hammada scoparia,4.8,0,0.2625,0,0.32,0,0.0175,0,5.46875,NA,NA,NA,NA,NA
Xu et al.,hammada scoparia,3.45,0,0.135,0,0.23,0,0.009,0,3.913043478,NA,NA,NA,NA,NA
Xu et al.,control,5.25,0,0.36,0,0.35,0,0.024,0,6.857142857,NA,NA,NA,NA,NA
Xu et al.,control,3.15,0,0.255,0,0.21,0,0.017,0,8.095238095,NA,NA,NA,NA,NA
Xu et al.,control,2.7,0,0.06,0,0.18,0,0.004,0,2.222222222,NA,NA,NA,NA,NA
Xu et al.,zygophyllum dumosum,5.7,0,0.135,0,0.38,0,0.009,0,2.368421053,NA,NA,NA,NA,NA
Xu et al.,zygophyllum dumosum,4.2,0,0.09,0,0.28,0,0.006,0,2.142857143,NA,NA,NA,NA,NA
Xu et al.,zygophyllum dumosum,3.9,0,0.03,0,0.26,0,0.002,0,0.769230769,NA,NA,NA,NA,NA
Xu et al.,hammada scoparia,5.7,0,0.27,0,0.38,0,0.018,0,4.736842105,NA,NA,NA,NA,NA
Xu et al.,hammada scoparia,4.65,0,0.144,0,0.31,0,0.0096,0,3.096774194,NA,NA,NA,NA,NA
Xu et al.,hammada scoparia,4.35,0,0.09,0,0.29,0,0.006,0,2.068965517,NA,NA,NA,NA,NA
Xu et al.,control,4.65,0,0.03,0,0.31,0,0.002,0,0.64516129,NA,NA,NA,NA,NA
Xu et al.,control,3.6,0,0.105,0,0.24,0,0.007,0,2.916666667,NA,NA,NA,NA,NA
Xu et al.,control,3.15,0,0.165,0,0.21,0,0.011,0,5.238095238,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.9,0,0.0105,0,0.06,0,0.0007,0,1.166666667,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.75,0,0.0255,0,0.05,0,0.0017,0,3.4,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.9,0,0.0135,0,0.06,0,0.0009,0,1.5,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.3,0,0.027,0,0.02,0,0.0018,0,9,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.9,0,0.0165,0,0.06,0,0.0011,0,1.833333333,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.15,0,0.021,0,0.01,0,0.0014,0,14,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.75,0,0.006,0,0.05,0,0.0004,0,0.8,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.45,0,0.0345,0,0.03,0,0.0023,0,7.666666667,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.6,0,0.0045,0,0.04,0,0.0003,0,0.75,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.3,0,0.0105,0,0.02,0,0.0007,0,3.5,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.6,0,0.00345,0,0.04,0,0.00023,0,0.575,NA,NA,NA,NA,NA
Xu et al.,"scattered shrubs (Cornulaca monacantha, Anabasis articulate, and Convolvulus lanatus)",0.3,0,0.00675,0,0.02,0,0.00045,0,2.25,NA,NA,NA,NA,NA
Xu et al.,Shrubs Noea mucronata and Atractylis serratuloides,34.5006,2.24994,7.48656,0.4641,2.30004,0.149996,0.499104,0.03094,21.69979653,20.62721673,15.33400891,NA,NA,NA
Xu et al.,Shrubs Noea mucronata and Atractylis serratuloides,100.4994,5.5503,7.1415,0.378,6.69996,0.37002,0.4761,0.0252,7.106012573,6.810442679,18.10702124,NA,NA,NA
Xu et al.,Shrubs Noea mucronata and Atractylis serratuloides,151.5006,8.70009,8.2746,0.4179,10.10004,0.580006,0.55164,0.02786,5.461760547,4.803398586,17.41368193,NA,NA,NA
Xu et al.,Shrubs Noea mucronata and Atractylis serratuloides,166.5,7.6503,6.8634,0.3696,11.1,0.51002,0.45756,0.02464,4.122162162,4.831183091,21.7638524,NA,NA,NA
Xu et al.,Shrubs Noea mucronata and Atractylis serratuloides,178.5006,7.9506,7.8894,0.4431,11.90004,0.53004,0.52596,0.02954,4.419817076,5.573164289,22.45121123,NA,NA,NA
Xu et al.,0,24.1506,2.40009,0.63,0,1.61004,0.160006,0.042,0,2.608630841,0,10.06237266,NA,NA,NA
Xu et al.,0,12.74994,1.19994,0.9,0,0.849996,0.079996,0.06,0,7.058856748,0,10.62548127,NA,NA,NA
Xu et al.,Larrea tridentata,0,0,0.018,0.00165,0,0,0.0012,0.00011,NA,NA,NA,NA,NA,NA
Xu et al.,Larrea tridentata,3.6,0.6,0.084,0.0369,0.24,0.04,0.0056,0.00246,2.333333333,6.15,6,NA,NA,NA
Xu et al.,"Hymenoclea salsola, Fouquieria splendens",3.3,0.6,0.1725,0.0273,0.22,0.04,0.0115,0.00182,5.227272727,4.55,5.5,NA,NA,NA
Xu et al.,"Hymenoclea salsola, Fouquieria splendens",12.45,1.35,0.21,0.0924,0.83,0.09,0.014,0.00616,1.686746988,6.844444444,9.222222222,NA,NA,NA
Xu et al.,Adenostoma fasciculatum,19.2,1.5,0.2505,0.057,1.28,0.1,0.0167,0.0038,1.3046875,3.8,12.8,NA,NA,NA
Xu et al.,Adenostoma fasciculatum,24.45,1.95,0.666,0.1863,1.63,0.13,0.0444,0.01242,2.72392638,9.553846154,12.53846154,NA,NA,NA
Xu et al.,Adenostoma sparsifolium,60.45,3.45,0.513,0.1746,4.03,0.23,0.0342,0.01164,0.848635236,5.060869565,17.52173913,NA,NA,NA
Xu et al.,Adenostoma sparsifolium,71.7,3.9,0.8625,0.24825,4.78,0.26,0.0575,0.01655,1.20292887,6.365384615,18.38461538,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,3.8241,0,0.0756,0,0.25494,0,0.00504,NA,1.97693575,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.7052,0,0.0378,0,0.11368,0,0.00252,NA,2.216748768,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,2.0622,0,0.0168,0,0.13748,0,0.00112,NA,0.814663951,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.1592,0,0.0126,0,0.07728,0,0.00084,NA,1.086956522,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.9992,0,0.0609,0,0.13328,0,0.00406,NA,3.046218487,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.1991,0,0.0126,0,0.07994,0,0.00084,NA,1.050788091,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,0.7497,0,0.0273,0,0.04998,0,0.00182,NA,3.641456583,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,0.7497,0,0.0084,0,0.04998,0,0.00056,NA,1.120448179,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.4994,0,0.0168,0,0.09996,0,0.00112,NA,1.120448179,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,3.3747,0,0.0063,0,0.22498,0,0.00042,NA,0.186683261,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,2.667,0,0.0231,0,0.1778,0,0.00154,NA,0.866141732,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.26,0,0.0126,0,0.084,0,0.00084,NA,1,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.0962,0,0.0147,0,0.07308,0,0.00098,NA,1.340996169,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,2.2491,0,0.0105,0,0.14994,0,0.0007,NA,0.466853408,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,2.3331,0,0.021,0,0.15554,0,0.0014,NA,0.900090009,0,NA,NA,NA
Xu et al.,"Grasslands composed of black grama (Bouteloua eriopoda); shrublands including tarbush stands (Flourensia cernua), mesquite dunes (Prosopis glandulosa), and creosotebush (Larrea tridentata)",0,1.4994,0,0.0105,0,0.09996,0,0.0007,NA,0.700280112,0,NA,NA,NA
Xu et al.,Tarbush (Flourensia cernua),0,0,0,0.0252,0,0,0,0.00168,NA,NA,NA,NA,NA,NA
Xu et al.,Mesquite dunes (Prosopis glandulosa),0,0,0,0.01701,0,0,0,0.001134,NA,NA,NA,NA,NA,NA
Xu et al.,Creosotebush (Larrea tridentata),0,0,0,0.0273,0,0,0,0.00182,NA,NA,NA,NA,NA,NA
Xu et al.,Black grama (Bouteloua eriopoda),0,0,0,0.01596,0,0,0,0.001064,NA,NA,NA,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),8.55,1.35,0,0.0606,0.57,0.09,0,0.00404,0,4.488888889,6.333333333,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),6.15,1.05,0,0.0282,0.41,0.07,0,0.00188,0,2.685714286,5.857142857,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),3.75,1.2,0,0.02355,0.25,0.08,0,0.00157,0,1.9625,3.125,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),5.55,1.35,0,0.01575,0.37,0.09,0,0.00105,0,1.166666667,4.111111111,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),29.85,2.4,0,0.0756,1.99,0.16,0,0.00504,0,3.15,12.4375,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),9.15,1.2,0,0.03735,0.61,0.08,0,0.00249,0,3.1125,7.625,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),5.85,1.5,0,0.0171,0.39,0.1,0,0.00114,0,1.14,3.9,NA,NA,NA
Xu et al.,Black grama (bouteloua eriopoda),4.95,1.05,0,0.01485,0.33,0.07,0,0.00099,0,1.414285714,4.714285714,NA,NA,NA
Xu et al.,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Xu et al.,"Larrea tridentata, Agave lechuguilla",8.31006,0.88494,0.06948,0,0.554004,0.058996,0.004632,0,0.836095046,0,9.390534952,NA,NA,NA
Xu et al.,"Larrea tridentata, Agave lechuguilla",9.585,0.93009,0.14814,0,0.639,0.062006,0.009876,0,1.545539906,0,10.30545431,NA,NA,NA
Xu et al.,0,0,0,0.735,0,0,0,0.049,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.345,0,0,0,0.023,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.45,0,0,0,0.03,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.405,0,0,0,0.027,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.45,0,0,0,0.03,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,1.2,0,0,0,0.08,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,1.125,0,0,0,0.075,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.9,0,0,0,0.06,0,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.75,0,0,0,0.05,0,NA,NA,NA,NA,NA,NA
Xu et al.,"Saxifraga oppositifolia L., Poa alpina L., and Draba spp.",21.3,0.45,0.0825,0,1.42,0.03,0.0055,0,0.387323944,0,47.33333333,NA,NA,NA
Xu et al.,"Saxifraga oppositifolia L., Poa alpina L., and Draba spp.",31.5,1.2,0.3015,0,2.1,0.08,0.0201,0,0.957142857,0,26.25,NA,NA,NA
Xu et al.,"Saxifraga oppositifolia L., Poa alpina L., and Draba spp.",151.5,9.15,0.3315,0,10.1,0.61,0.0221,0,0.218811881,0,16.55737705,NA,NA,NA
Xu et al.,"Saxifraga oppositifolia L., Poa alpina L., and Draba spp.",328.5,19.35,1.086,0,21.9,1.29,0.0724,0,0.330593607,0,16.97674419,NA,NA,NA
Xu et al.,Bare soil,24,0.3,0.09,0,1.6,0.02,0.006,0,0.375,0,80,NA,NA,NA
Xu et al.,Few grass grown in rock,27.15,0.75,0.39,0,1.81,0.05,0.026,0,1.436464088,0,36.2,NA,NA,NA
Xu et al.,50% mosses,104.4,5.55,0.495,0,6.96,0.37,0.033,0,0.474137931,0,18.81081081,NA,NA,NA
Xu et al.,"lichens, mosses",217.5,12.45,1.545,0,14.5,0.83,0.103,0,0.710344828,0,17.46987952,NA,NA,NA
Xu et al.,perennial tussock,17.1,0.912,0.5472,0,1.14,0.0608,0.03648,0,3.2,0,18.75,NA,NA,NA
Xu et al.,perennial tussock,15.6,0.8835,0.4212,0,1.04,0.0589,0.02808,0,2.7,0,17.65704584,NA,NA,NA
Xu et al.,perennial tussock,12.45,0.8535,0.2988,0,0.83,0.0569,0.01992,0,2.4,0,14.58699473,NA,NA,NA
Xu et al.,perennial tussock,10.65,0.621,0.22365,0,0.71,0.0414,0.01491,0,2.1,0,17.14975845,NA,NA,NA
Xu et al.,perennial tussock,9.15,0.528,0.183,0,0.61,0.0352,0.0122,0,2,0,17.32954545,NA,NA,NA
Xu et al.,sweet grass,10.5,0.9,0.9735,0,0.7,0.06,0.0649,0,9.271428571,0,11.66666667,NA,NA,NA
Xu et al.,sweet grass,21,1.35,1.122,0,1.4,0.09,0.0748,0,5.342857143,0,15.55555556,NA,NA,NA
Xu et al.,sweet grass,12,1.2,1.0905,0,0.8,0.08,0.0727,0,9.0875,0,10,NA,NA,NA
Xu et al.,sweet grass,22.5,1.95,1.2735,0,1.5,0.13,0.0849,0,5.66,0,11.53846154,NA,NA,NA
Xu et al.,grassland,18.9,1.605,0.59115,0,1.26,0.107,0.03941,0,3.127777778,0,11.77570093,NA,NA,NA
Xu et al.,mixed herbs,1.65,0.195,0.0225,0,0.11,0.013,0.0015,0,1.363636364,0,8.461538462,NA,NA,NA
Xu et al.,grass,91.8,4.755,0.8025,0,6.12,0.317,0.0535,0,0.874183007,0,19.30599369,NA,NA,NA
Xu et al.,grass,33.6,2.13,0.3825,0,2.24,0.142,0.0255,0,1.138392857,0,15.77464789,NA,NA,NA
Xu et al.,grass,60.15,4.11,1.005,0,4.01,0.274,0.067,0,1.670822943,0,14.6350365,NA,NA,NA
Xu et al.,mixed herbs,15.9,1.245,0.261,0,1.06,0.083,0.0174,0,1.641509434,0,12.77108434,NA,NA,NA
Xu et al.,herbs,20.55,1.41,0.609,0,1.37,0.094,0.0406,0,2.96350365,0,14.57446809,NA,NA,NA
Xu et al.,0,37.20670391,2.294617564,0.666,0.081,2.480446927,0.152974504,0.0444,0.0054,1.79,3.53,16.21477343,NA,NA,NA
Xu et al.,Fallow grassland,6,0.825,0.1989,0,0.4,0.055,0.01326,0,3.315,0,7.272727273,NA,NA,NA
Xu et al.,meadow steppe,50.76,4.41,0.729,0.1407,3.384,0.294,0.0486,0.00938,1.436170213,3.19047619,11.51020408,NA,NA,NA
Xu et al.,typical steppe,39.24,3.78,0.8784,0.1365,2.616,0.252,0.05856,0.0091,2.23853211,3.611111111,10.38095238,NA,NA,NA
Xu et al.,typical steppe,31.86,3.15,0.8262,0.1302,2.124,0.21,0.05508,0.00868,2.593220339,4.133333333,10.11428571,NA,NA,NA
Xu et al.,typical steppe,42.84,4.41,1.1952,0.1932,2.856,0.294,0.07968,0.01288,2.789915966,4.380952381,9.714285714,NA,NA,NA
Xu et al.,typical steppe,32.58,2.73,0.6912,0.1218,2.172,0.182,0.04608,0.00812,2.121546961,4.461538462,11.93406593,NA,NA,NA
Xu et al.,typical steppe,30.24,2.94,0.7164,0.1239,2.016,0.196,0.04776,0.00826,2.369047619,4.214285714,10.28571429,NA,NA,NA
Xu et al.,typical steppe,35.1,3.78,1.0566,0.1512,2.34,0.252,0.07044,0.01008,3.01025641,4,9.285714286,NA,NA,NA
Xu et al.,typical steppe,11.34,1.26,0.2394,0.0378,0.756,0.084,0.01596,0.00252,2.111111111,3,9,NA,NA,NA
Xu et al.,Desert stepp,5.4,0.63,0.2304,0.0315,0.36,0.042,0.01536,0.0021,4.266666667,5,8.571428571,NA,NA,NA
Xu et al.,Desert stepp,2.52,0.21,0.0882,0.021,0.168,0.014,0.00588,0.0014,3.5,10,12,NA,NA,NA
Xu et al.,Desert stepp,3.6,0.42,0.1044,0.0189,0.24,0.028,0.00696,0.00126,2.9,4.5,8.571428571,NA,NA,NA
Xu et al.,Grazing pasture,43.56,4.2,0.9036,0.1428,2.904,0.28,0.06024,0.00952,2.074380165,3.4,10.37142857,NA,NA,NA
Xu et al.,Grazing pasture,24.3,2.52,0.6534,0.1134,1.62,0.168,0.04356,0.00756,2.688888889,4.5,9.642857143,NA,NA,NA
Xu et al.,meadow steppe,41.22,3.57,0.4716,0.0903,2.748,0.238,0.03144,0.00602,1.144104803,2.529411765,11.54621849,NA,NA,NA
Xu et al.,typical steppe,27.9,2.73,0.5238,0.0945,1.86,0.182,0.03492,0.0063,1.877419355,3.461538462,10.21978022,NA,NA,NA
Xu et al.,typical steppe,24.48,2.73,0.6822,0.105,1.632,0.182,0.04548,0.007,2.786764706,3.846153846,8.967032967,NA,NA,NA
Xu et al.,typical steppe,28.08,2.52,0.522,0.0672,1.872,0.168,0.0348,0.00448,1.858974359,2.666666667,11.14285714,NA,NA,NA
Xu et al.,typical steppe,29.52,2.94,0.63,0.0819,1.968,0.196,0.042,0.00546,2.134146341,2.785714286,10.04081633,NA,NA,NA
Xu et al.,typical steppe,37.98,4.62,0.9162,0.1176,2.532,0.308,0.06108,0.00784,2.412322275,2.545454545,8.220779221,NA,NA,NA
Xu et al.,typical steppe,42.66,3.99,1.0692,0.1491,2.844,0.266,0.07128,0.00994,2.506329114,3.736842105,10.69172932,NA,NA,NA
Xu et al.,typical steppe,11.34,1.26,0.2484,0.0483,0.756,0.084,0.01656,0.00322,2.19047619,3.833333333,9,NA,NA,NA
Xu et al.,Desert stepp,6.84,0.84,0.216,0.0294,0.456,0.056,0.0144,0.00196,3.157894737,3.5,8.142857143,NA,NA,NA
Xu et al.,Desert stepp,4.32,0.63,0.1476,0.0252,0.288,0.042,0.00984,0.00168,3.416666667,4,6.857142857,NA,NA,NA
Xu et al.,Desert stepp,3.78,0.42,0.0774,0.0168,0.252,0.028,0.00516,0.00112,2.047619048,4,9,NA,NA,NA
Xu et al.,Grazing pasture,26.1,2.73,0.5364,0.0819,1.74,0.182,0.03576,0.00546,2.055172414,3,9.56043956,NA,NA,NA
Xu et al.,Grazing pasture,21.78,2.31,0.5418,0.0903,1.452,0.154,0.03612,0.00602,2.487603306,3.909090909,9.428571429,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),22.995,2.775,0.48,0,1.533,0.185,0.032,0,2.087410307,0,8.286486486,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),19.77,2.385,0.285,0,1.318,0.159,0.019,0,1.441578149,0,8.289308176,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),35.49,3.69,0.795,0,2.366,0.246,0.053,0,2.240067625,0,9.617886179,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),27.84,3.09,0.36,0,1.856,0.206,0.024,0,1.293103448,0,9.009708738,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),28.725,3.18,0.63,0,1.915,0.212,0.042,0,2.193211488,0,9.033018868,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),22.35,2.49,0.36,0,1.49,0.166,0.024,0,1.610738255,0,8.975903614,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),30.36,3.165,0.585,0,2.024,0.211,0.039,0,1.92687747,0,9.592417062,NA,NA,NA
Xu et al.,Typical steppe (Leymus chinensis),24.78,2.715,0.255,0,1.652,0.181,0.017,0,1.02905569,0,9.127071823,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",10.5,1.14,0.1575,0.057,0.7,0.076,0.0105,0.0038,1.5,5,9.210526316,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",11.53846154,0.957446809,0.15,0.045,0.769230769,0.063829787,0.01,0.003,1.3,4.7,12.05128205,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",9.545454545,1.016949153,0.315,0.06,0.636363636,0.06779661,0.021,0.004,3.3,5.9,9.386363636,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",9.193548387,1.125,0.285,0.063,0.612903226,0.075,0.019,0.0042,3.1,5.6,8.172043011,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",10.0862069,1.118181818,0.2925,0.0615,0.672413793,0.074545455,0.0195,0.0041,2.9,5.5,9.020185029,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",11.73913043,1.142857143,0.27,0.048,0.782608696,0.076190476,0.018,0.0032,2.3,4.2,10.27173913,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",10.28571429,1.071428571,0.36,0.0525,0.685714286,0.071428571,0.024,0.0035,3.5,4.9,9.6,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",10.28571429,1.010869565,0.288,0.0465,0.685714286,0.067391304,0.0192,0.0031,2.8,4.6,10.17511521,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",10.26315789,0.954545455,0.195,0.021,0.684210526,0.063636364,0.013,0.0014,1.9,2.2,10.7518797,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",8.653846154,0.857142857,0.1125,0.018,0.576923077,0.057142857,0.0075,0.0012,1.3,2.1,10.09615385,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",9.642857143,0.8125,0.135,0.0195,0.642857143,0.054166667,0.009,0.0013,1.4,2.4,11.86813187,NA,NA,NA
Xu et al.,"Chamaerhodos erecta, Artemisia frigida, Stipa krylovii",10.90909091,0.782608696,0.12,0.018,0.727272727,0.052173913,0.008,0.0012,1.1,2.3,13.93939394,NA,NA,NA
Xu et al.,"Agropyron cristatum, Leymus chinensis, Artemisia frigida",12.14285714,1.207317073,0.255,0.0495,0.80952381,0.080487805,0.017,0.0033,2.1,4.1,10.05772006,NA,NA,NA
Xu et al.,"Agropyron cristatum, Leymus chinensis, Artemisia frigida",13.125,1.220930233,0.21,0.0525,0.875,0.081395349,0.014,0.0035,1.6,4.3,10.75,NA,NA,NA
Xu et al.,"Agropyron cristatum, Leymus chinensis, Artemisia frigida",10.8,1.586206897,0.27,0.069,0.72,0.105747126,0.018,0.0046,2.5,4.35,6.808695652,NA,NA,NA
